"CNKEY";"CN_CODE";"LEVEL";"NAME_FR"
"020220100080";"02022010";"5";"Quartiers dits « compensés »"
"020220300080";"02022030";"5";"Quartiers avant attenants ou séparés"
"020220500080";"02022050";"5";"Quartiers arrière attenants ou séparés"
"020220900080";"02022090";"5";"autres"
"020230000080";"020230";"4";"désossées"
"020230100080";"02023010";"5";" Quartiers avant, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation; quartiers dits « compensés » présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum, et l'autre, le quartier arrière, à l'exclusion du filet, en un seul morceau"
"020230500080";"02023050";"5";"Découpes de quartiers avant et de poitrines dites « australiennes »"
"020230900080";"02023090";"5";"autres"
"020300000080";"0203";"3";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées"
"020311000010";"";"4";"fraîches ou réfrigérées"
"020311000080";"020311";"5";"en carcasses ou demicarcasses"
"020311100080";"02031110";"6";"des animaux de l'espèce porcine domestique"
"020311900080";"02031190";"6";"autres"
"020312000080";"020312";"5";"Jambons, épaules et leurs morceaux, non désossés"
"020312110010";"";"6";"des animaux de l'espèce porcine domestique"
"020312110080";"02031211";"7";"Jambons et morceaux de jambons"
"020312190080";"02031219";"7";"Épaules et morceaux d'épaules"
"020312900080";"02031290";"6";"autres"
"020319000080";"020319";"5";"autres"
"020319110010";"";"6";"des animaux de l'espèce porcine domestique"
"020319110080";"02031911";"7";"Parties avant et morceaux de parties avant"
"020319130080";"02031913";"7";"Longes et morceaux de longes"
"020319150080";"02031915";"7";"Poitrines (entrelardées) et morceaux de poitrines"
"020319550010";"";"7";"autres"
"020319550080";"02031955";"8";"désossées"
"020319590080";"02031959";"8";"autres"
"020319900080";"02031990";"6";"autres"
"020321000010";"";"4";"congelées"
"020321000080";"020321";"5";"en carcasses ou demicarcasses"
"020321100080";"02032110";"6";"des animaux de l'espèce porcine domestique"
"020321900080";"02032190";"6";"autres"
"020322000080";"020322";"5";"Jambons, épaules et leurs morceaux, non désossés"
"020322110010";"";"6";"des animaux de l'espèce porcine domestique"
"020322110080";"02032211";"7";"Jambons et morceaux de jambons"
"020322190080";"02032219";"7";"Épaules et morceaux d'épaules"
"020322900080";"02032290";"6";"autres"
"020329000080";"020329";"5";"autres"
"020329110010";"";"6";"des animaux de l'espèce porcine domestique"
"020329110080";"02032911";"7";"Parties avant et morceaux de parties avant"
"020329130080";"02032913";"7";"Longes et morceaux de longes"
"020329150080";"02032915";"7";"Poitrines (entrelardées) et morceaux de poitrines"
"020329550010";"";"7";"autres"
"020329550080";"02032955";"8";"désossées"
"020329590080";"02032959";"8";"autres"
"020329900080";"02032990";"6";"autres"
"020400000080";"0204";"3";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées"
"020410000080";"02041000";"4";"Carcasses et demicarcasses d'agneau, fraîches ou réfrigérées"
"020421000010";"";"4";"autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées"
"020421000080";"02042100";"5";"en carcasses ou demicarcasses"
"020422000080";"020422";"5";"en autres morceaux non désossés"
"020422100080";"02042210";"6";"Casque ou demicasque"
"020422300080";"02042230";"6";"Carré et/ou selle ou demicarré et/ou demiselle"
"020422500080";"02042250";"6";"Culotte ou demiculotte"
"020422900080";"02042290";"6";"autres"
"020423000080";"02042300";"5";"désossées"
"020430000080";"02043000";"4";"Carcasses et demicarcasses d'agneau, congelées"
"020441000010";"";"4";"autres viandes des animaux de l'espèce ovine, congelées"
"020441000080";"02044100";"5";"en carcasses ou demicarcasses"
"020442000080";"020442";"5";"en autres morceaux non désossés"
"020442100080";"02044210";"6";"Casque ou demicasque"
"020442300080";"02044230";"6";"Carré et/ou selle ou demicarré et/ou demiselle"
"020442500080";"02044250";"6";"Culotte ou demiculotte"
"020442900080";"02044290";"6";"autres"
"020443000080";"020443";"5";"désossées"
"020443100080";"02044310";"6";"d'agneau"
"020443900080";"02044390";"6";"autres"
"020450000080";"020450";"4";"Viandes des animaux de l'espèce caprine"
"020450110010";"";"5";"fraîches ou réfrigérées"
"020450110080";"02045011";"6";"Carcasses ou demicarcasses"
"020450130080";"02045013";"6";"Casque ou demicasque"
"020450150080";"02045015";"6";"Carré et/ou selle ou demicarré et/ou demiselle"
"020450190080";"02045019";"6";"Culotte ou demiculotte"
"020450310010";"";"6";"autres"
"020450310080";"02045031";"7";"Morceaux non désossés"
"020450390080";"02045039";"7";"Morceaux désossés"
"020450510010";"";"5";"congelées"
"020450510080";"02045051";"6";"Carcasses ou demicarcasses"
"020450530080";"02045053";"6";"Casque ou demicasque"
"020450550080";"02045055";"6";"Carré et/ou selle ou demicarré et/ou demiselle"
"020450590080";"02045059";"6";"Culotte ou demiculotte"
"020450710010";"";"6";"autres"
"020450710080";"02045071";"7";"Morceaux non désossés"
"020450790080";"02045079";"7";"Morceaux désossés"
"020500000080";"020500";"3";"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées"
"020500200080";"02050020";"4";"fraîches ou réfrigérées"
"020500800080";"02050080";"4";"congelées"
"020600000080";"0206";"3";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés"
"020610000080";"020610";"4";"de l'espèce bovine, frais ou réfrigérés"
"020610100080";"02061010";"5";"destinés à la fabrication de produits pharmaceutiques"
"020610950010";"";"5";"autres"
"020610950080";"02061095";"6";"Onglets et hampes"
"020610980080";"02061098";"6";"autres"
"020621000010";"";"4";"de l'espèce bovine, congelés"
"020621000080";"02062100";"5";"Langues"
"020622000080";"02062200";"5";"Foies"
"020629000080";"020629";"5";"autres"
"020629100080";"02062910";"6";"destinés à la fabrication de produits pharmaceutiques"
"020629910010";"";"6";"autres"
"020629910080";"02062991";"7";"Onglets et hampes"
"020629990080";"02062999";"7";"autres"
"020630000080";"02063000";"4";"de l'espèce porcine, frais ou réfrigérés"
"020641000010";"";"4";"de l'espèce porcine, congelés"
"020641000080";"02064100";"5";"Foies"
"020649000080";"02064900";"5";"autres"
"020680000080";"020680";"4";"autres, frais ou réfrigérés"
"020680100080";"02068010";"5";"destinés à la fabrication de produits pharmaceutiques"
"020680910010";"";"5";"autres"
"020680910080";"02068091";"6";"des espèces chevaline, asine ou mulassière"
"020680990080";"02068099";"6";"des espèces ovine ou caprine"
"020690000080";"020690";"4";"autres, congelés"
"020690100080";"02069010";"5";"destinés à la fabrication de produits pharmaceutiques"
"020690910010";"";"5";"autres"
"020690910080";"02069091";"6";"des espèces chevaline, asine ou mulassière"
"020690990080";"02069099";"6";"des espèces ovine ou caprine"
"020700000080";"0207";"3";"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du no 0105"
"020711000010";"";"4";"de volailles de l'espèce Gallus domesticus"
"020711000080";"020711";"5";"non découpés en morceaux, frais ou réfrigérés"
"020711100080";"02071110";"6";"présentés plumés, sans boyaux, avec la tête et les pattes, dénommés « poulets 83 % »"
"020711300080";"02071130";"6";"présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le cœur, le foie et le gésier, dénommés « poulets 70 % »"
"020711900080";"02071190";"6";"présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés « poulets 65 % », ou autrement présentés"
"020712000080";"020712";"5";"non découpés en morceaux, congelés"
"020712100080";"02071210";"6";"présentés plumés, vidés, sans la tête ni les pattes, mais avec le cou, le cœur, le foie et le gésier, dénommés « poulets 70 % »"
"020712900080";"02071290";"6";"présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés « poulets 65 % », ou autrement présentés"
"020713000080";"020713";"5";"Morceaux et abats, frais ou réfrigérés"
"020713100010";"";"6";"Morceaux"
"020713100080";"02071310";"7";"désossés"
"020713200010";"";"7";"non désossés"
"020713200080";"02071320";"8";"Demis ou quarts"
"020713300080";"02071330";"8";"Ailes entières, même sans la pointe"
"020713400080";"02071340";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020713500080";"02071350";"8";"Poitrines et morceaux de poitrines"
"020713600080";"02071360";"8";"Cuisses et morceaux de cuisses"
"020713700080";"02071370";"8";"autres"
"020713910010";"";"6";"Abats"
"020713910080";"02071391";"7";"Foies"
"020713990080";"02071399";"7";"autres"
"020714000080";"020714";"5";"Morceaux et abats, congelés"
"020714100010";"";"6";"Morceaux"
"020714100080";"02071410";"7";"désossés"
"020714200010";"";"7";"non désossés"
"020714200080";"02071420";"8";"Demis ou quarts"
"020714300080";"02071430";"8";"Ailes entières, même sans la pointe"
"020714400080";"02071440";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020714500080";"02071450";"8";"Poitrines et morceaux de poitrines"
"020714600080";"02071460";"8";"Cuisses et morceaux de cuisses"
"020714700080";"02071470";"8";"autres"
"020714910010";"";"6";"Abats"
"020714910080";"02071491";"7";"Foies"
"020714990080";"02071499";"7";"autres"
"020724000010";"";"4";"de dindes et dindons"
"020724000080";"020724";"5";"non découpés en morceaux, frais ou réfrigérés"
"020724100080";"02072410";"6";"présentés plumés, vidés, sans la tête ni les pattes, avec le cou, le cœur, le foie et le gésier, dénommés « dindes 80 % »"
"020724900080";"02072490";"6";"présentés plumés, vidés, sans la tête ni le cou, sans les pattes, le cœur, le foie et le gésier, dénommés « dindes 73 % », ou autrement présentés"
"020725000080";"020725";"5";"non découpés en morceaux, congelés"
"020725100080";"02072510";"6";"présentés plumés, vidés, sans la tête ni les pattes, avec le cou, le cœur, le foie et le gésier, dénommés « dindes 80 % »"
"020725900080";"02072590";"6";"présentés plumés, vidés, sans la tête ni le cou, sans les pattes, le cœur, le foie et le gésier, dénommés « dindes 73 % », ou autrement présentés"
"020726000080";"020726";"5";"Morceaux et abats, frais ou réfrigérés"
"020726100010";"";"6";"Morceaux"
"020726100080";"02072610";"7";"désossés"
"020726200010";"";"7";"non désossés"
"020726200080";"02072620";"8";"Demis ou quarts"
"020726300080";"02072630";"8";"Ailes entières, même sans la pointe"
"020726400080";"02072640";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020726500080";"02072650";"8";"Poitrines et morceaux de poitrines"
"020726600010";"";"8";"Cuisses et morceaux de cuisses"
"020726600080";"02072660";"9";"Pilons et morceaux de pilons"
"020726700080";"02072670";"9";"autres"
"020726800080";"02072680";"8";"autres"
"020726910010";"";"6";"Abats"
"020726910080";"02072691";"7";"Foies"
"020726990080";"02072699";"7";"autres"
"020727000080";"020727";"5";"Morceaux et abats, congelés"
"020727100010";"";"6";"Morceaux"
"020727100080";"02072710";"7";"désossés"
"020727200010";"";"7";"non désossés"
"020727200080";"02072720";"8";"Demis ou quarts"
"020727300080";"02072730";"8";"Ailes entières, même sans la pointe"
"020727400080";"02072740";"8";"Dos, cous, dos avec cous, croupions, pointes d'ailes"
"020727500080";"02072750";"8";"Poitrines et morceaux de poitrines"
"020727600010";"";"8";"Cuisses et morceaux de cuisses"
"020727600080";"02072760";"9";"Pilons et morceaux de pilons"
"020727700080";"02072770";"9";"autres"
"020727800080";"02072780";"8";"autres"
"020727910010";"";"6";"Abats"
"020727910080";"02072791";"7";"Foies"
"020727990080";"02072799";"7";"autres"
"020741000010";"";"4";"de canards"
"020741000080";"020741";"5";"non découpés en morceaux, frais ou réfrigérés"
"020741200080";"02074120";"6";"présentés plumés, saignés, sans boyaux mais non vidés, avec la tête et les pattes, dénommés « canards 85 % »"
"020741300080";"02074130";"6";"présentés plumés, vidés, sans la tête ni les pattes, avec le cou, le cœur, le foie et le gésier, dénommés « canards 70 % »"
"020741800080";"02074180";"6";"présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés « canards 63 % », ou autrement présentés"
"020742000080";"020742";"5";"non découpés en morceaux, congelés"
"020742300080";"02074230";"6";"présentés plumés, vidés, sans la tête ni les pattes, avec le cou, le cœur, le foie et le gésier, dénommés « canards 70 % »"
"020742800080";"02074280";"6";"présentés plumés, vidés, sans la tête ni les pattes et sans le cou, le cœur, le foie et le gésier, dénommés « canards 63 % », ou autrement présentés"
"020743000080";"02074300";"5";"Foies gras, frais ou réfrigérés"
"020744000080";"020744";"5";"autres, frais ou réfrigérés"
