"CNKEY";"CN_CODE";"LEVEL";"NAME_FR"
"200600100080";"20060010";"4";"Gingembre"
"200600310010";"";"4";"autres"
"200600310020";"";"5";"d'une teneur en sucres excédant 13 % en poids"
"200600310080";"20060031";"6";"Cerises"
"200600350080";"20060035";"6";"Fruits tropicaux et fruits à coques tropicaux"
"200600380080";"20060038";"6";"autres"
"200600910010";"";"5";"autres"
"200600910080";"20060091";"6";"Fruits tropicaux et fruits à coques tropicaux"
"200600990080";"20060099";"6";"autres"
"200700000080";"2007";"3";"Confitures, gelées, marmelades, purées et pâtes de fruits, obtenues par cuisson, avec ou sans addition de sucre ou d'autres édulcorants"
"200710000080";"200710";"4";"Préparations homogénéisées"
"200710100080";"20071010";"5";"d'une teneur en sucres excédant 13 % en poids"
"200710910010";"";"5";"autres"
"200710910080";"20071091";"6";"de fruits tropicaux"
"200710990080";"20071099";"6";"autres"
"200791000010";"";"4";"autres"
"200791000080";"200791";"5";"Agrumes"
"200791100080";"20079110";"6";"d'une teneur en sucres excédant 30 % en poids"
"200791300080";"20079130";"6";"d'une teneur en sucres excédant 13 % et n'excédant pas 30 % en poids"
"200791900080";"20079190";"6";"autres"
"200799000080";"200799";"5";"autres"
"200799100010";"";"6";"d'une teneur en sucres excédant 30 % en poids"
"200799100080";"20079910";"7";"Purées et pâtes de prunes, en emballages immédiats d'un contenu net excédant 100 kg et destinées à la transformation industrielle"
"200799200080";"20079920";"7";"Purées et pâtes de marrons"
"200799310010";"";"7";"autres"
"200799310080";"20079931";"8";"de cerises"
"200799330080";"20079933";"8";"de fraises"
"200799350080";"20079935";"8";"de framboises"
"200799390080";"20079939";"8";"autres"
"200799500080";"20079950";"6";"d'une teneur en sucres excédant 13 % et n'excédant pas 30 % en poids"
"200799930010";"";"6";"autres"
"200799930080";"20079993";"7";"de fruits tropicaux et fruits à coques tropicaux"
"200799970080";"20079997";"7";"autres"
"200800000080";"2008";"3";"Fruits et autres parties comestibles de plantes, autrement préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool, non dénommés ni compris ailleurs"
"200811000010";"";"4";"Fruits à coques, arachides et autres graines, même mélangés entre eux"
"200811000080";"200811";"5";"Arachides"
"200811100080";"20081110";"6";"Beurre d'arachide"
"200811910010";"";"6";"autres, en emballages immédiats d'un contenu net"
"200811910080";"20081191";"7";"excédant 1 kg"
"200811960010";"";"7";"n'excédant pas 1 kg"
"200811960080";"20081196";"8";"grillées"
"200811980080";"20081198";"8";"autres"
"200819000080";"200819";"5";"autres, y compris les mélanges"
"200819120010";"";"6";"en emballages immédiats d'un contenu net excédant 1 kg"
"200819120080";"20081912";"7";" Fruits à coques tropicaux; mélanges contenant en poids 50 % ou plus de fruits à coques tropicaux"
"200819130010";"";"7";"autres"
"200819130080";"20081913";"8";"Amandes et pistaches, grillées"
"200819190080";"20081919";"8";"autres"
"200819920010";"";"6";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200819920080";"20081992";"7";" Fruits à coques tropicaux; mélanges contenant en poids 50 % ou plus de fruits à coques tropicaux"
"200819930010";"";"7";"autres"
"200819930020";"";"8";"Fruits à coques, grillés"
"200819930080";"20081993";"9";"Amandes et pistaches"
"200819950080";"20081995";"9";"autres"
"200819990080";"20081999";"8";"autres"
"200820000080";"200820";"4";"Ananas"
"200820110010";"";"5";"avec addition d'alcool"
"200820110020";"";"6";"en emballages immédiats d'un contenu net excédant 1 kg"
"200820110080";"20082011";"7";"d'une teneur en sucres excédant 17 % en poids"
"200820190080";"20082019";"7";"autres"
"200820310010";"";"6";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200820310080";"20082031";"7";"d'une teneur en sucres excédant 19 % en poids"
"200820390080";"20082039";"7";"autres"
"200820510010";"";"5";"sans addition d'alcool"
"200820510020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200820510080";"20082051";"7";"d'une teneur en sucres excédant 17 % en poids"
"200820590080";"20082059";"7";"autres"
"200820710010";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200820710080";"20082071";"7";"d'une teneur en sucres excédant 19 % en poids"
"200820790080";"20082079";"7";"autres"
"200820900080";"20082090";"6";"sans addition de sucre"
"200830000080";"200830";"4";"Agrumes"
"200830110010";"";"5";"avec addition d'alcool"
"200830110020";"";"6";"d'une teneur en sucres excédant 9 % en poids"
"200830110080";"20083011";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200830190080";"20083019";"7";"autres"
"200830310010";"";"6";"autres"
"200830310080";"20083031";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200830390080";"20083039";"7";"autres"
"200830510010";"";"5";"sans addition d'alcool"
"200830510020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200830510080";"20083051";"7";"Segments de pamplemousses et de pomelos"
"200830550080";"20083055";"7";" Mandarines, y compris tangerines et satsumas; clémentines, wilkings et autres hybrides similaires d'agrumes"
"200830590080";"20083059";"7";"autres"
"200830710010";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200830710080";"20083071";"7";"Segments de pamplemousses et de pomelos"
"200830750080";"20083075";"7";" Mandarines, y compris tangerines et satsumas; clémentines, wilkings et autres hybrides similaires d'agrumes"
"200830790080";"20083079";"7";"autres"
"200830900080";"20083090";"6";"sans addition de sucre"
"200840000080";"200840";"4";"Poires"
"200840110010";"";"5";"avec addition d'alcool"
"200840110020";"";"6";"en emballages immédiats d'un contenu net excédant 1 kg"
"200840110030";"";"7";"d'une teneur en sucres excédant 13 % en poids"
"200840110080";"20084011";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200840190080";"20084019";"8";"autres"
"200840210010";"";"7";"autres"
"200840210080";"20084021";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200840290080";"20084029";"8";"autres"
"200840310010";"";"6";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200840310080";"20084031";"7";"d'une teneur en sucres excédant 15 % en poids"
"200840390080";"20084039";"7";"autres"
"200840510010";"";"5";"sans addition d'alcool"
"200840510020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200840510080";"20084051";"7";"d'une teneur en sucres excédant 13 % en poids"
"200840590080";"20084059";"7";"autres"
"200840710010";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200840710080";"20084071";"7";"d'une teneur en sucres excédant 15 % en poids"
"200840790080";"20084079";"7";"autres"
"200840900080";"20084090";"6";"sans addition de sucre"
"200850000080";"200850";"4";"Abricots"
"200850110010";"";"5";"avec addition d'alcool"
"200850110020";"";"6";"en emballages immédiats d'un contenu net excédant 1 kg"
"200850110030";"";"7";"d'une teneur en sucres excédant 13 % en poids"
"200850110080";"20085011";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200850190080";"20085019";"8";"autres"
"200850310010";"";"7";"autres"
"200850310080";"20085031";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200850390080";"20085039";"8";"autres"
"200850510010";"";"6";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200850510080";"20085051";"7";"d'une teneur en sucres excédant 15 % en poids"
"200850590080";"20085059";"7";"autres"
"200850610010";"";"5";"sans addition d'alcool"
"200850610020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200850610080";"20085061";"7";"d'une teneur en sucres excédant 13 % en poids"
"200850690080";"20085069";"7";"autres"
"200850710010";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200850710080";"20085071";"7";"d'une teneur en sucres excédant 15 % en poids"
"200850790080";"20085079";"7";"autres"
"200850920010";"";"6";"sans addition de sucre, en emballages immédiats d'un contenu net"
"200850920080";"20085092";"7";"de 5 kg ou plus"
"200850980080";"20085098";"7";"de moins de 5 kg"
"200860000080";"200860";"4";"Cerises"
"200860110010";"";"5";"avec addition d'alcool"
"200860110020";"";"6";"d'une teneur en sucres excédant 9 % en poids"
"200860110080";"20086011";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200860190080";"20086019";"7";"autres"
"200860310010";"";"6";"autres"
"200860310080";"20086031";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200860390080";"20086039";"7";"autres"
"200860500010";"";"5";"sans addition d'alcool"
"200860500020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net"
"200860500080";"20086050";"7";"excédant 1 kg"
"200860600080";"20086060";"7";"n'excédant pas 1 kg"
"200860700010";"";"6";"sans addition de sucre, en emballages immédiats d'un contenu net"
"200860700080";"20086070";"7";"de 4,5 kg ou plus"
"200860900080";"20086090";"7";"de moins de 4,5 kg"
"200870000080";"200870";"4";"Pêches, y compris les brugnons et nectarines"
"200870110010";"";"5";"avec addition d'alcool"
"200870110020";"";"6";"en emballages immédiats d'un contenu net excédant 1 kg"
"200870110030";"";"7";"d'une teneur en sucres excédant 13 % en poids"
"200870110080";"20087011";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200870190080";"20087019";"8";"autres"
"200870310010";"";"7";"autres"
"200870310080";"20087031";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200870390080";"20087039";"8";"autres"
"200870510010";"";"6";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200870510080";"20087051";"7";"d'une teneur en sucres excédant 15 % en poids"
"200870590080";"20087059";"7";"autres"
"200870610010";"";"5";"sans addition d'alcool"
"200870610020";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200870610080";"20087061";"7";"d'une teneur en sucres excédant 13 % en poids"
"200870690080";"20087069";"7";"autres"
"200870710010";"";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200870710080";"20087071";"7";"d'une teneur en sucres excédant 15 % en poids"
"200870790080";"20087079";"7";"autres"
"200870920010";"";"6";"sans addition de sucre, en emballages immédiats d'un contenu net"
"200870920080";"20087092";"7";"de 5 kg ou plus"
"200870980080";"20087098";"7";"de moins de 5 kg"
"200880000080";"200880";"4";"Fraises"
"200880110010";"";"5";"avec addition d'alcool"
"200880110020";"";"6";"d'une teneur en sucres excédant 9 % en poids"
"200880110080";"20088011";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200880190080";"20088019";"7";"autres"
"200880310010";"";"6";"autres"
"200880310080";"20088031";"7";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200880390080";"20088039";"7";"autres"
"200880500010";"";"5";"sans addition d'alcool"
"200880500080";"20088050";"6";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200880700080";"20088070";"6";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200880900080";"20088090";"6";"sans addition de sucre"
"200891000010";"";"4";"autres, y compris les mélanges, à l'exception de ceux de la sousposition 200819"
"200891000080";"20089100";"5";"Cœurs de palmier"
"200893000080";"200893";"5";" Canneberges (Vaccinium macrocarpon, Vaccinium oxycoccos); airelles rouges (Vaccinium vitisidaea)"
"200893110010";"";"6";"avec addition d'alcool"
"200893110020";"";"7";"d'une teneur en sucres excédant 9 % en poids"
"200893110080";"20089311";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200893190080";"20089319";"8";"autres"
"200893210010";"";"7";"autres"
"200893210080";"20089321";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200893290080";"20089329";"8";"autres"
"200893910010";"";"6";"sans addition d'alcool"
"200893910080";"20089391";"7";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200893930080";"20089393";"7";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200893990080";"20089399";"7";"sans addition de sucre"
"200897000080";"200897";"5";"Mélanges"
"200897030010";"";"6";"de fruits à coques tropicaux et fruits tropicaux, contenant en poids 50 % ou plus de fruits à coques tropicaux"
"200897030080";"20089703";"7";"en emballages immédiats d'un contenu net excédant 1 kg"
"200897050080";"20089705";"7";"en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200897120010";"";"6";"autres"
"200897120020";"";"7";"avec addition d'alcool"
"200897120030";"";"8";"d'une teneur en sucres excédant 9 % en poids"
"200897120040";"";"9";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200897120080";"20089712";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897140080";"20089714";"10";"autres"
"200897160010";"";"9";"autres"
"200897160080";"20089716";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897180080";"20089718";"10";"autres"
"200897320010";"";"8";"autres"
"200897320020";"";"9";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200897320080";"20089732";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897340080";"20089734";"10";"autres"
"200897360010";"";"9";"autres"
"200897360080";"20089736";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897380080";"20089738";"10";"autres"
"200897510010";"";"7";"sans addition d'alcool"
"200897510020";"";"8";"avec addition de sucre"
"200897510030";"";"9";"en emballages immédiats d'un contenu net excédant 1 kg"
"200897510080";"20089751";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897590080";"20089759";"10";"autres"
"200897720010";"";"9";"autres"
"200897720020";"";"10";"Mélanges dans lesquels aucun des fruits les composant ne dépasse 50 % en poids du total des fruits présentés"
"200897720080";"20089772";"11";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897740080";"20089774";"11";"autres"
"200897760010";"";"10";"autres"
"200897760080";"20089776";"11";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897780080";"20089778";"11";"autres"
"200897920010";"";"8";"sans addition de sucre, en emballages immédiats d'un contenu net"
"200897920020";"";"9";"de 5 kg ou plus"
"200897920080";"20089792";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897930080";"20089793";"10";"autres"
"200897940010";"";"9";"de 4,5 kg ou plus mais de moins de 5 kg"
"200897940080";"20089794";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897960080";"20089796";"10";"autres"
"200897970010";"";"9";"de moins de 4,5 kg"
"200897970080";"20089797";"10";"de fruits tropicaux (y compris les mélanges contenant en poids 50 % ou plus de fruits tropicaux et fruits à coques tropicaux)"
"200897980080";"20089798";"10";"autres"
"200899000080";"200899";"5";"autres"
"200899110010";"";"6";"avec addition d'alcool"
"200899110020";"";"7";"Gingembre"
"200899110080";"20089911";"8";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200899190080";"20089919";"8";"autres"
"200899210010";"";"7";"Raisins"
"200899210080";"20089921";"8";"d'une teneur en sucres excédant 13 % en poids"
"200899230080";"20089923";"8";"autres"
"200899240010";"";"7";"autres"
"200899240020";"";"8";"d'une teneur en sucres excédant 9 % en poids"
"200899240030";"";"9";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200899240080";"20089924";"10";"Fruits tropicaux"
"200899280080";"20089928";"10";"autres"
"200899310010";"";"9";"autres"
"200899310080";"20089931";"10";"Fruits tropicaux"
"200899340080";"20089934";"10";"autres"
"200899360010";"";"8";"autres"
"200899360020";"";"9";"ayant un titre alcoométrique massique acquis n'excédant pas 11,85 % mas"
"200899360080";"20089936";"10";"Fruits tropicaux"
"200899370080";"20089937";"10";"autres"
"200899380010";"";"9";"autres"
"200899380080";"20089938";"10";"Fruits tropicaux"
"200899400080";"20089940";"10";"autres"
"200899410010";"";"6";"sans addition d'alcool"
"200899410020";"";"7";"avec addition de sucre, en emballages immédiats d'un contenu net excédant 1 kg"
"200899410080";"20089941";"8";"Gingembre"
"200899430080";"20089943";"8";"Raisins"
"200899450080";"20089945";"8";"Prunes"
"200899480080";"20089948";"8";"Fruits tropicaux"
"200899490080";"20089949";"8";"autres"
"200899510010";"";"7";"avec addition de sucre, en emballages immédiats d'un contenu net n'excédant pas 1 kg"
"200899510080";"20089951";"8";"Gingembre"
"200899630080";"20089963";"8";"Fruits tropicaux"
"200899670080";"20089967";"8";"autres"
"200899720010";"";"7";"sans addition de sucre"
"200899720020";"";"8";"Prunes en emballages immédiats d'un contenu net"
"200899720080";"20089972";"9";"de 5 kg ou plus"
"200899780080";"20089978";"9";"de moins de 5 kg"
"200899850080";"20089985";"8";"Maïs, à l'exclusion du maïs doux (Zea mays var. saccharata)"
"200899910080";"20089991";"8";"Ignames, patates douces et parties comestibles similaires de plantes d'une teneur en poids d'amidon ou de fécule égale ou supérieure à 5 %"
"200899990080";"20089999";"8";"autres"
"200900000080";"2009";"3";"Jus de fruits (y compris les moûts de raisin et l’eau de noix de coco) ou de légumes, non fermentés, sans addition d’alcool, avec ou sans addition de sucre ou d'autres édulcorants"
"200911000010";"";"4";"Jus d'orange"
"200911000080";"200911";"5";"congelés"
"200911110010";"";"6";"d'une valeur Brix excédant 67"
"200911110080";"20091111";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200911190080";"20091119";"7";"autres"
"200911910010";"";"6";"d'une valeur Brix n'excédant pas 67"
"200911910080";"20091191";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net et d'une teneur en sucres d'addition excédant 30 % en poids"
"200911990080";"20091199";"7";"autres"
"200912000080";"20091200";"5";"non congelés, d'une valeur Brix n'excédant pas 20"
"200919000080";"200919";"5";"autres"
"200919110010";"";"6";"d'une valeur Brix excédant 67"
"200919110080";"20091911";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200919190080";"20091919";"7";"autres"
"200919910010";"";"6";"d'une valeur Brix excédant 20 mais n'excédant pas 67"
"200919910080";"20091991";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net et d'une teneur en sucres d'addition excédant 30 % en poids"
"200919980080";"20091998";"7";"autres"
"200921000010";"";"4";" Jus de pamplemousse; jus de pomelo"
"200921000080";"20092100";"5";"d'une valeur Brix n'excédant pas 20"
"200929000080";"200929";"5";"autres"
"200929110010";"";"6";"d'une valeur Brix excédant 67"
"200929110080";"20092911";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200929190080";"20092919";"7";"autres"
"200929910010";"";"6";"d'une valeur Brix excédant 20 mais n'excédant pas 67"
"200929910080";"20092991";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net et d'une teneur en sucres d'addition excédant 30 % en poids"
"200929990080";"20092999";"7";"autres"
"200931000010";"";"4";"Jus de tout autre agrume"
"200931000080";"200931";"5";"d'une valeur Brix n'excédant pas 20"
"200931110010";"";"6";"d'une valeur excédant 30 € par 100 kg poids net"
"200931110080";"20093111";"7";"contenant des sucres d'addition"
"200931190080";"20093119";"7";"ne contenant pas de sucres d'addition"
"200931510010";"";"6";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200931510020";"";"7";"de citrons"
"200931510080";"20093151";"8";"contenant des sucres d'addition"
"200931590080";"20093159";"8";"ne contenant pas de sucres d'addition"
"200931910010";"";"7";"d'autres agrumes"
"200931910080";"20093191";"8";"contenant des sucres d'addition"
"200931990080";"20093199";"8";"ne contenant pas de sucres d'addition"
"200939000080";"200939";"5";"autres"
"200939110010";"";"6";"d'une valeur Brix excédant 67"
"200939110080";"20093911";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200939190080";"20093919";"7";"autres"
"200939310010";"";"6";"d'une valeur Brix excédant 20 mais n'excédant pas 67"
"200939310020";"";"7";"d'une valeur excédant 30 € par 100 kg poids net"
"200939310080";"20093931";"8";"contenant des sucres d'addition"
"200939390080";"20093939";"8";"ne contenant pas de sucres d'addition"
"200939510010";"";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200939510020";"";"8";"de citrons"
"200939510080";"20093951";"9";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200939550080";"20093955";"9";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200939590080";"20093959";"9";"ne contenant pas de sucres d'addition"
"200939910010";"";"8";"d'autres agrumes"
"200939910080";"20093991";"9";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200939950080";"20093995";"9";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200939990080";"20093999";"9";"ne contenant pas de sucres d'addition"
"200941000010";"";"4";"Jus d'ananas"
"200941000080";"200941";"5";"d'une valeur Brix n'excédant pas 20"
"200941920080";"20094192";"6";"contenant des sucres d'addition"
"200941990080";"20094199";"6";"ne contenant pas de sucres d'addition"
"200949000080";"200949";"5";"autres"
"200949110010";"";"6";"d'une valeur Brix excédant 67"
"200949110080";"20094911";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200949190080";"20094919";"7";"autres"
"200949300010";"";"6";"d'une valeur Brix excédant 20 mais n'excédant pas 67"
"200949300080";"20094930";"7";"d'une valeur excédant 30 € par 100 kg poids net, contenant des sucres d'addition"
"200949910010";"";"7";"autres"
"200949910080";"20094991";"8";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200949930080";"20094993";"8";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200949990080";"20094999";"8";"ne contenant pas de sucres d'addition"
"200950000080";"200950";"4";"Jus de tomate"
"200950100080";"20095010";"5";"contenant des sucres d'addition"
"200950900080";"20095090";"5";"autres"
"200961000010";"";"4";"Jus de raisin (y compris les moûts de raisin)"
"200961000080";"200961";"5";"d'une valeur Brix n'excédant pas 30"
"200961100080";"20096110";"6";"d'une valeur excédant 18 € par 100 kg poids net"
"200961900080";"20096190";"6";"d'une valeur n'excédant pas 18 € par 100 kg poids net"
"200969000080";"200969";"5";"autres"
"200969110010";"";"6";"d'une valeur Brix excédant 67"
"200969110080";"20096911";"7";"d'une valeur n'excédant pas 22 € par 100 kg poids net"
"200969190080";"20096919";"7";"autres"
"200969510010";"";"6";"d'une valeur Brix excédant 30 mais n'excédant pas 67"
"200969510020";"";"7";"d'une valeur excédant 18 € par 100 kg poids net"
"200969510080";"20096951";"8";"concentrés"
"200969590080";"20096959";"8";"autres"
"200969710010";"";"7";"d'une valeur n'excédant pas 18 € par 100 kg poids net"
"200969710020";"";"8";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200969710080";"20096971";"9";"concentrés"
"200969790080";"20096979";"9";"autres"
"200969900080";"20096990";"8";"autres"
"200971000010";"";"4";"Jus de pomme"
"200971000080";"200971";"5";"d'une valeur Brix n'excédant pas 20"
"200971200080";"20097120";"6";"contenant des sucres d'addition"
"200971990080";"20097199";"6";"ne contenant pas de sucres d'addition"
"200979000080";"200979";"5";"autres"
"200979110010";"";"6";"d'une valeur Brix excédant 67"
"200979110080";"20097911";"7";"d'une valeur n'excédant pas 22 € par 100 kg poids net"
"200979190080";"20097919";"7";"autres"
"200979300010";"";"6";"d'une valeur Brix excédant 20 mais n'excédant pas 67"
"200979300080";"20097930";"7";"d'une valeur excédant 18 € par 100 kg poids net, contenant des sucres d'addition"
"200979910010";"";"7";"autres"
"200979910080";"20097991";"8";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200979980080";"20097998";"8";"autres"
"200981000010";"";"4";"Jus de tout autre fruit ou légume"
"200981000080";"200981";"5";" Jus de canneberge (Vaccinium macrocarpon, Vaccinium oxycoccos); jus d’airelle rouge (Vaccinium vitisidaea)"
"200981110010";"";"6";"d'une valeur Brix excédant 67"
"200981110080";"20098111";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200981190080";"20098119";"7";"autres"
"200981310010";"";"6";"d'une valeur Brix n'excédant pas 67"
"200981310080";"20098131";"7";"d'une valeur excédant 30 € par 100 kg poids net, contenant des sucres d'addition"
"200981510010";"";"7";"autres"
"200981510080";"20098151";"8";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200981590080";"20098159";"8";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200981950010";"";"8";"ne contenant pas de sucres d'addition"
"200981950080";"20098195";"9";"Jus de fruit de l'espèce Vaccinium macrocarpon"
"200981990080";"20098199";"9";"autres"
"200989000080";"200989";"5";"autres"
"200989110010";"";"6";"d'une valeur Brix excédant 67"
"200989110020";"";"7";"Jus de poires"
"200989110080";"20098911";"8";"d'une valeur n'excédant pas 22 € par 100 kg poids net"
"200989190080";"20098919";"8";"autres"
"200989340010";"";"7";"autres"
"200989340020";"";"8";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200989340080";"20098934";"9";"Jus de fruits tropicaux"
"200989350080";"20098935";"9";"autres"
"200989360010";"";"8";"autres"
"200989360080";"20098936";"9";"Jus de fruits tropicaux"
"200989380080";"20098938";"9";"autres"
"200989500010";"";"6";"d'une valeur Brix n'excédant pas 67"
"200989500020";"";"7";"Jus de poires"
"200989500080";"20098950";"8";"d'une valeur excédant 18 € par 100 kg poids net, contenant des sucres d'addition"
"200989610010";"";"8";"autres"
"200989610080";"20098961";"9";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200989630080";"20098963";"9";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200989690080";"20098969";"9";"ne contenant pas de sucres d'addition"
"200989710010";"";"7";"autres"
"200989710020";"";"8";"d'une valeur excédant 30 € par 100 kg poids net, contenant des sucres d'addition"
"200989710080";"20098971";"9";"Jus de cerises"
"200989730080";"20098973";"9";"Jus de fruits tropicaux"
"200989790080";"20098979";"9";"autres"
"200989850010";"";"8";"autres"
"200989850020";"";"9";"d'une teneur en sucres d'addition excédant 30 % en poids"
"200989850080";"20098985";"10";"Jus de fruits tropicaux"
"200989860080";"20098986";"10";"autres"
"200989880010";"";"9";"d'une teneur en sucres d'addition n'excédant pas 30 % en poids"
"200989880080";"20098988";"10";"Jus de fruits tropicaux"
"200989890080";"20098989";"10";"autres"
"200989960010";"";"9";"ne contenant pas de sucres d'addition"
"200989960080";"20098996";"10";"Jus de cerises"
"200989970080";"20098997";"10";"Jus de fruits tropicaux"
"200989990080";"20098999";"10";"autres"
"200990000080";"200990";"4";"Mélanges de jus"
"200990110010";"";"5";"d'une valeur Brix excédant 67"
"200990110020";"";"6";"Mélanges de jus de pommes et de jus de poires"
"200990110080";"20099011";"7";"d'une valeur n'excédant pas 22 € par 100 kg poids net"
"200990190080";"20099019";"7";"autres"
"200990210010";"";"6";"autres"
"200990210080";"20099021";"7";"d'une valeur n'excédant pas 30 € par 100 kg poids net"
"200990290080";"20099029";"7";"autres"
"200990310010";"";"5";"d'une valeur Brix n'excédant pas 67"
"200990310020";"";"6";"Mélanges de jus de pommes et de jus de poires"
"200990310080";"20099031";"7";"d'une valeur n'excédant pas 18 € par 100 kg poids net et d'une teneur en sucres d'addition excédant 30 % en poids"
"200990390080";"20099039";"7";"autres"
"200990410010";"";"6";"autres"
"200990410020";"";"7";"d'une valeur excédant 30 € par 100 kg poids net"
"200990410030";"";"8";"Mélanges de jus d'agrumes et de jus d'ananas"
"200990410080";"20099041";"9";"contenant des sucres d'addition"
"200990490080";"20099049";"9";"autres"
"200990510010";"";"8";"autres"
"200990510080";"20099051";"9";"contenant des sucres d'addition"
